time,fea,fea,fea,fea,fea,fea,fea,fea,fea,fea,fea,fea,fea,fea,y
1328148468,0,1,1,3,0.574441,118,30,361.333333,8,0.601142,156,139,4.639864,136,1
1328148472,0,1,1,3,1.339994,174,11,306.666667,8,0.136717,152,136,6.302188,133,1
1328148474,0,1,1,1,0,125,126,786,8,0.009225,69,85,109.406525,83,1
1328224487,0,1,1,2,0.863121,42,7,195,9,0.006939,114,9.5,73.06005,10,1
1328234780,0,2,2,3,0.806811,301,287,247.333333,8,7.684842,54,30,1.644117,2,1
1328234784,1,1,2,6,1.363376,133,54,402,8,9.956935,291,143.5,3.056563,142,1
1328234786,0,1,1,2,0.856405,39,18,472.5,8,0.15408,75,133.5,5.186638,130,1
1328292968,0,1,1,1,0,10,5,224,7,0.726516,78,73,2.376432,52,1
1328292973,1,1,2,2,0.811278,9,7,230,8,1.006782,59,152.5,1.744947,149,1
1328476816,0,2,5,23,3.630787,3754,0,0,1,0,0,11,0,21,0
1328476845,0,2,2,2,0.811278,4,0,0,1,0,0,23.5,0,22,0
1328478546,1,1,1,1,0,1,1,3,1,0.019688,1,25,51.793651,2,0
1328479924,0,1,1,1,0,2,3,31,1,0.035972,1,26,28.799228,3,0
1328485755,0,1,1,2,0,5,0,0,1,0,0,0.5,0,1,0
1328486809,0,1,2,2,0.811278,11,1,36,5,0.342616,10,38.5,2.459361,39,1
1328553329,0,1,2,6,2.183563,72,2,0.833333,1,0.260702,2,4.5,1.958949,7,0
1328556391,0,1,1,2,0.318215,35,17,522,8,0.488999,153,124.5,42.074629,122,1
1328556392,0,1,1,4,0.727603,129,123,260.5,8,3.105648,98,82.5,1.167705,82,1
1328559272,0,1,1,1,0,25,0,0,1,0,0,8,0,8,0
1328564102,1,1,1,1,0,8,8,25,1,0.055903,1,9,18.888199,9,0
1328576391,0,1,2,3,0.945564,213,19,27,1,1.152488,3,28,1.530254,25,0
1328580628,1,1,2,2,0.981941,9,10,123,1,0.049039,4,30.5,16.29384,27,0
1328581322,0,1,1,1,0,34,35,169,1,0.008032,3,32,125.495677,28,0
1328627093,0,2,2,2,0.991618,44,21,738.5,9,1.981059,86,91.5,1.635431,2,1
1328645881,0,1,1,2,0.854773,104,57,379.5,9,0.60923,137,168.5,2.054467,165,1
1328656059,0,1,1,4,1.179473,92,52,241.75,9,0.399847,199,159.5,2.908068,157,1
1328656060,1,1,1,4,0.486726,207,166,543,9,0.311988,227,149.5,1.900283,147,1
1328656062,1,1,1,1,0,1,1,351,9,0.202245,10,170,5.944489,166,1
1328658670,1,1,2,4,1.276612,170,20,63.25,2,0.975822,8,1.5,0.961207,3,0
1328659026,0,1,2,3,1.459148,10,2,109,2,0.002747,7,5,162.797753,6,0
1328663289,1,1,6,21,0.458283,4848,1,3.619048,2,0.002546,4,17,19.705347,27,0
1328663309,0,1,7,16,1.839421,4057,9,1.5625,1,0.071764,2,17.5,1.870906,25,0
1328664238,0,1,2,3,0,11,6,77.333333,2,0.04159,7,29,14.723034,30,0
1328665724,0,1,1,1,0,1,1,76,2,0.028183,5,31,36.482546,31,0
1328687190,1,1,1,2,0.312733,37,34,501.5,9,0.605122,52,175.5,1.869226,172,1
1328687197,0,1,1,2,0.152407,74,17,461.5,9,0.487737,56,162.5,2.046313,159,1
1328722519,0,1,1,4,1.673419,51,58,339.5,9,0.306282,213,43.5,4.225319,40,1
1328722522,0,1,1,2,0.959687,16,18,233,9,2.906759,128,254.5,1.347588,208,1
1328744524,0,1,1,4,1.120375,60,16,331,9,1.249306,222,38.5,1.224644,35,1
1328809875,1,1,1,1,0,3,2,985,9,0.121794,69,258,9.210586,211,1
1328813993,0,1,1,1,0,19,8,858,9,0.914606,81,50,2.093366,44,1
1328817085,0,2,3,4,1.037987,23,76,125.25,8,2.229389,52,188.5,1.253672,101,1
1328817089,0,2,2,3,1.408886,82,10,135.333333,8,3.528441,36,185,1.109758,98,1
1328837147,0,1,1,1,0,7,0,808,8,0.737766,79,85,2.355443,64,1
1328837640,1,1,1,1,0,36,14,819,9,1.146134,88,259,1.872498,212,1
1328841954,0,1,1,1,0,24,0,400,8,7.968646,41,0,0,0,1
1328899642,0,1,1,1,0,3,3,53,1,2.735336,1,26,1.365586,26,0
1328903654,0,1,1,1,0,0,0,0,2,2.771019,1,36,1.360878,36,0
1328907589,0,1,3,9,1.539702,289,111,18.222222,1,3.057854,11,31,1.102988,35,0
1328910983,1,1,1,1,0,1,1,54,1,0.039282,3,36,26.456688,36,0
1328915975,0,1,1,1,0,5,1,3,1,2.924375,1,37,1.341953,37,0
1328916931,0,1,2,2,0.749595,13,1,27,2,0.034421,4,0.5,7.762946,1,0
1328916951,0,1,1,2,0.684038,6,5,77,3,0.085075,15,2.5,58.830571,1,0
1328917006,0,1,1,1,0,16,14,162,6,0.021123,1,8,48.342466,8,1
1328917009,0,1,1,1,0,131,128,723,6,26.88044,10,118,1.037202,21,1
1328920112,0,2,2,3,1.156179,34,1,70,5,0.036663,22,5,17.697183,2,0
1328920154,0,1,3,3,1.5,3,1,27.333333,5,0.012596,7,8,1381.249398,5,0
1328920428,0,1,1,1,0,0,11,11,5,0.003171,2,10,316.328467,6,0
1328921957,1,1,1,1,0,1,1,88,5,0.006574,11,39,153.112676,33,0
1328922193,0,1,1,1,0,1,0,88,5,0.002731,12,11,367.101695,4,0
1328922576,0,1,3,4,1.413817,12,12,-2.5,5,0.010443,5,13.5,15.403287,10,0
1328923723,0,1,1,1,0,67,18,933,9,2.539792,65,184,1.393733,156,1
1328923724,0,1,1,1,0,10,12,694,5,0.039711,25,61,26.182163,9,1
1328923724,0,2,3,6,1.954498,48,47,315,8,1.192016,98,118.5,1.199893,71,1
1328923724,0,1,1,1,0,1,1,922,9,0.118484,62,122,9.439973,99,1
1328923724,0,1,1,1,0,5,0,982,9,0.042616,66,187,24.465508,157,1
1328923725,1,1,1,1,0,6,7,841,8,0.873264,53,194,2.145129,91,1
1328923726,0,1,1,1,0,4,1,919,9,0.660579,61,121,2.513824,98,1
1328923727,1,1,1,3,0.840491,12,11,321.333333,6,2.602913,61,73,1.196345,73,1
1328923728,0,1,1,1,0,2,2,919,8,1.199236,59,120,1.833864,97,1
1328942203,0,1,1,1,0,1,1,58,5,0.004329,2,19,232.016043,14,0
1329002240,1,1,1,1,0,3,3,174,5,0.094259,3,44,11.609037,44,0
1329005415,0,1,1,1,0,50,16,174,5,0.036748,4,45,28.212598,45,0
1329005850,1,1,1,1,0,0,13,208,5,0.005035,5,46,199.62069,46,0
1329009502,0,1,1,1,0,6,1,113,5,0.025556,17,47,40.130435,47,0
1329009733,1,2,2,2,0.591673,3,4,133.5,5,0.399676,13,10.5,38.866886,1,0
1329010246,1,1,1,2,0.650022,6,6,142.5,5,0.096725,18,49.5,80.180404,50,0
1329017119,0,1,1,1,0,13,7,409,8,0.045255,26,84,23.097187,63,1
1329073244,0,1,2,3,1.512888,10,10,42,5,1.83409,10,41,1.191971,42,0
1329076226,0,1,1,1,0,0,1,74,6,0.04485,12,43,23.296774,43,0
1329076409,0,1,1,1,0,1,4,164,6,0.025845,2,44,39.692342,44,0
1329078866,0,1,1,2,0.33729,18,14,181.5,5,0.787847,24,12.5,1.964259,11,0
1329079221,0,1,1,1,0,32,0,0,1,0,0,43,0,35,0
1329083363,0,1,2,5,1.594303,84,78,88.6,5,3.135593,20,54,5.249796,56,0
1329087925,0,1,1,1,0,80,14,249,5,0.10485,7,45,10.537477,0,0
1329089793,0,1,1,1,0,0,46,174,5,0.001262,27,47,793.66055,45,0
1329090506,0,1,1,1,0,5,0,173,5,0.007604,29,58,132.506849,50,0
1329092275,1,1,1,1,0,0,2,178,5,0.020475,30,59,49.841153,51,0
1329095797,0,1,1,2,0.391244,17,9,320.5,5,0.028287,45,60.5,27.513912,53,0
1329155857,0,1,1,1,0,7,4,184,5,0.695139,33,62,2.438561,54,0
1329161566,0,2,2,2,0.994207,96,38,750,9,0.197431,88,182.5,4.798804,26,1
1329161567,0,1,1,1,0,7,2,657,9,0.323252,27,189,4.093559,29,1
1329162055,1,1,1,1,0,25,3,425,9,1.215567,44,142,1.822661,116,1
1329170951,0,1,1,1,0,1,0,187,5,0.174699,34,63,6.724129,55,0
1329171771,1,1,1,1,0,9,9,506,5,0.012917,15,64,78.419355,56,0
1329171807,0,1,1,1,0,5,3,134,5,0.013333,9,65,76,4,0
1329172278,1,1,1,1,0,5,5,136,5,0.005451,10,51,184.43949,47,0
1329176218,0,1,1,1,0,13,0,161,6,1.155197,3,69,1.865653,6,0
1329176811,0,1,1,1,0,1,0,252,5,0.033009,12,52,31.29453,2,0
1329177389,0,1,1,2,0.811278,11,1,97.5,5,0.527963,38,70.5,1.965534,60,0
1329184448,0,1,1,2,0.688048,49,49,297,6,0.014977,52,13.5,51.07728,5,0
1329184960,0,1,1,3,1.530493,6,3,99,6,0.409576,45,73,1.837523,63,0
1329185206,1,1,1,1,0,3,3,38,6,0.02375,1,15,43.105263,6,0
1329187022,1,1,1,1,0,0,4,221,6,0.003206,41,76,312.913357,65,0
1329187207,0,1,1,1,0,5,2,217,6,0.002141,42,77,468.027027,66,0
1329187718,0,1,1,2,0.249882,22,2,160,6,0.029369,60,78.5,94.052433,68,0
1329200725,1,1,1,1,0,106,108,628,5,0.007419,22,56,135.789392,6,0
1329203523,0,1,1,1,0,1,0,342,6,0.01353,46,89,74.909324,78,0
1329239109,1,2,2,2,0.468996,10,10,506.5,5,0.389595,40,59.5,2.925076,51,0
1329241787,0,1,1,1,0,2,0,347,6,0.003287,48,91,305.225352,80,0
1329242741,1,1,1,2,0.498675,563,21,406.5,9,1.77647,75,164.5,0.640729,161,1
1329255796,0,1,1,1,0,1,1,1,1,9.015637,1,16,1.110918,7,0
1329260640,1,2,2,5,1.230792,311,283,480.4,9,3.937931,145,180,1.07647,3,1
1329260646,0,1,1,2,0.721928,37,88,490,9,2.842836,58,166.5,1.263821,163,1
1329263326,1,1,1,1,0,61,17,696,6,0.063542,28,64,16.737705,11,0
1329263698,0,1,1,1,0,426,154,174,6,1.0125,4,17,1.987654,9,0
1329265644,0,1,2,2,0.543564,8,0,43,6,2.209595,15,101.5,1.34121,8,0
1329266088,0,1,1,1,0,14,2,740,6,0.031968,29,65,32.28168,12,0
1329266406,0,1,2,2,0.191433,34,0,0,1,0,0,104.5,0,10,0
1329266708,0,1,1,2,0.949452,29,9,525.5,8,0.570422,65,144.5,1.941083,56,1
1329266714,1,1,1,3,1.057585,17,11,543.666667,8,0.045829,96,161,13.203212,65,1
1329267888,0,1,1,1,0,20,21,446,6,0.048495,5,18,21.620525,10,0
1329268763,0,1,1,1,0,17,18,752,6,0.030961,30,66,33.299065,13,0
1329270324,0,2,2,2,0.710123,56,47,146,6,0.018241,5,67.5,42.116751,53,0
1329335773,0,1,1,3,1.074628,64,56,209,9,5.034842,146,63,1.066296,58,1
1329335777,0,1,1,2,0.956457,30,15,263.5,9,0.671551,142,65.5,2.116818,60,1
1329336961,1,1,1,1,0,55,31,841,9,4.978206,90,227,1.200876,100,1
1329336965,1,1,1,1,0,43,40,805,8,0.045567,85,201,22.945644,94,1
1329337508,1,1,1,2,0.479832,32,26,944.5,9,0.842182,168,228.5,1.862886,102,1
1329428201,1,1,1,2,0.468996,10,10,516,9,0.641157,97,5.5,1.826469,5,1
1329430495,1,1,1,1,0,26,24,450,9,1.869144,49,7,1.535004,6,1
1329491370,1,1,1,1,0,1,1,301,6,0.499398,6,23,3.00241,12,0
1329501411,0,1,1,1,0,49,20,753,6,2.637523,32,69,1.379144,15,0
1329508999,0,1,1,2,1,3,1,201,6,1.363362,13,27.5,364.20858,17,0
1329517617,0,1,1,1,0,1,0,0,1,0,0,57,0,0,0
1329528629,0,2,4,5,1.332826,279,1,7.8,9,0.035586,19,250,5.296195,130,1
1329528894,0,1,1,1,0,3,15,631,6,0.013796,14,36,73.483221,25,0
1329529037,0,1,1,1,0,23,9,790,6,0.015451,35,72,65.719101,17,0
1329534622,0,1,1,3,1.402081,12,5,392,6,0.075494,42,38,9.776763,28,0
1329588105,1,1,1,1,0,14,15,207,6,0.016528,5,75,61.504202,56,0
1329602511,0,1,1,1,0,17,8,804,6,0.850394,36,65,2.175926,61,0
1329610171,1,1,1,1,0,3,1,499,6,0.021806,24,43,46.859873,32,0
1329610395,1,1,1,1,0,15,4,776,6,0.018252,38,80,55.787571,22,0
1329616780,0,1,1,1,0,1,1,148,6,0.011898,56,46,85.046693,35,0
1329631457,1,1,1,1,0,3,2,503,6,0.208449,26,0,0,0,0
1329632300,0,1,1,1,0,0,2,504,6,0.009757,27,1,103.491103,1,0
1329673940,1,2,4,5,1.033757,96,16,270.8,6,0.383514,68,87,1.869078,63,0
1329678189,0,1,1,1,0,30,0,109,6,0.049178,2,90,21.334196,64,0
1329678610,0,1,1,1,0,3,2,139,6,0.004873,3,91,206.225653,65,0
1329855312,0,1,1,2,0.94566,10,12,681,9,0.473542,231,97.5,2.109371,95,1
1329931570,0,1,2,2,0.942683,33,17,45.5,10,0.024352,24,294.5,34.744421,55,1
1329937747,0,2,5,11,1.562804,71,15,86.818182,10,1.040103,280,288,2.615599,53,1
1329937748,0,1,1,1,0,11,11,65,10,0.563102,2,296,2.775878,56,1
1329946328,0,3,5,6,1.189515,142,236,73.333333,10,4.088465,20,262.5,1.100231,137,1
1329946328,0,1,2,2,0.30373,306,8,20.5,10,0.003056,22,203.5,164.636364,6,1
1329953162,0,2,3,3,1.00249,115,28,129,10,0.756833,10,271,1.79141,142,1
1329961526,1,1,1,1,0,18,14,65,10,0.089907,3,273,12.122554,143,1
1329961532,0,2,2,2,0.242292,17,8,308,10,0.599977,159,303.5,1.948493,58,1
1329961873,0,2,2,2,0.169491,295,23,281,10,0.088762,11,208.5,76.66645,8,1
1329961876,1,2,2,2,0.987693,55,37,237.5,10,0.464363,7,205.5,4.760809,7,1
1330125407,1,1,1,4,1.115718,158,80,412.25,9,3.615793,253,190.5,5.273721,187,1
1330125408,0,2,2,2,0.970951,30,20,583,10,0.581262,21,287.5,2.290297,150,1
1330125410,0,1,1,1,0,2,0,97,8,2.956829,4,192,1.3382,89,1
1330125410,0,1,1,2,0.764205,2,7,343,9,0.643472,158,75.5,1.828525,68,1
